TASK / LOCATION,Company,Part Number,Job Number,Sand Mold Size Cope/Cheek Top Down/Drag,Material,POUR WEIGHT,Owner,Quantity Needed,Molds Needed,Certs,CORES ORDERED,Promised Date,Heat treat,Notes,"Inform Melt of Large Mold ""Y""",Molds split off,Days on Pour List,,,,,,,,,,,,54,133
Waiting On CAD,SOUTHERN CAST,Cast  Test bar on casting,31199,,Al 319,,,4,4,No,,4/28/2023,,,,,,,,,,,,,,,,,,
Waiting On CAD,SOUTHERN CAST,Small 3-D Flask,,50x50x12/12/12,Al 356 - T6,,,1,1,No,N/A,8/1/2023,T6,,,,,,,,,,,,,,,,,
Waiting On CAD,SOUTHERN CAST,XXL Flask - SCP share with STLP ,,PP,Al 356 - T6,,PP,1,1,No,,6/6/2024,,,,,,,,,,,,,,,,,,
Waiting On CAD,SOUTHERN CAST,50x50x12 Flask,,,Al 356 - T6,,PP,1,1,No,,6/6/2024,,,,,,,,,,,,,,,,,,
Waiting On CAD,Vandeventer,SK3047   -ROBO - 2205 SS - Rework and place in inventory,34858,JWA - Review SIMs with BL before dropping,ASTM A995 CD3MN 2205SS,,TK,1,1,No,,,Austenitize and Quench,,,,3,,,,,,,,,,,,,
Waiting On CAD,SOUTHERN CAST,Mold plates out of Ductile,,,60 Ductile,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting On CAD,SOUTHERN CAST,New Aluminum Test bar mold pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting On CAD,Southern Cast,T-handles - Pattern?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting On CAD,Southern Cast,Christmas tree ornaments,,CM,,,,,,,,,,,,,,,,,,,,,,,,,,
Waiting On CAD,Southern Cast,30x30x15 Robo Flask,,JWA,,,,,,,,,,,,,,,,,,,,,,,,,,
Solidification / Gating,SCP,"MACHINE SHOP FIXTURE DUAL WEY 24""",35200,ZH,40 FE,,,2,2,No,,12/23/2025,Stress Relieve,,1,1,1,,,,,,,,,,,,,
Solidification / Gating,ACE Pumps,Z-BAC16750LIN-ROBOCAST-3D MOLD,35217,TK,ASTM A351 CF8M,,,3,,Yes,,1/12/2026,Austenitize and Quench,,,,,,,,,,,,,,,,,
Solidification / Gating,ACE Pumps,Z-BAC14750LIN-ROBOCAST-3D MOLD,35216,ZH,ASTM A48 Cl 30 G.I,,,6,,Yes,,1/12/2026,,,,,,,,,,,,,,,,,,
Solidification / Gating,RPM,54849-01-CGT- ROBOCAST-RPM1863 - Internal exepdite,35237,JWA,316SS CF8M,,,4,,Yes,,1/13/2026,Austenitize and Quench,,,,,,,,,,,,,,,,,
Solidification / Gating,Metrology Works,C-HDRS-6034- PATTERNCAST-MACH (SCP to run Sims),35208,ZH remove from excel after pouring,875 Bronze,,,,,,,,,,,,,,,,,,,,,,,,,
CAD (Mold Work),RPM,54836-01-SIM- ROBOCAST-RPM1909 (MPI and Xray at PTI) ,35226,30x30x10/10/10 -MM,DE12-0534 (ASTM A747 CB7Cu-1 Cond H1150),220,MM,4,4,Yes,,1/26/2026,See One note,"Hot top, Large Vacuum 45mins",,,,,,,,,,,,,,,,
CAD (Mold Work),Southern Cast,Astate Axe Head - See Henry before assmbling ,Internal,Juan to do CAD,5160 Spring Steel,70,,1,1,No,,N/A,See Henry for HT plan,,,,,,,,,,,,,,,,,
Waiting on Sample,Howden,A053251 - ROBOCAST-5W-74364 (SEE QUALITY PLAN)(Virtual Witness Pour) - Sample 2) - 3/4 ,34497,50x50x16F(6F 2x6 riser side)/16(4F 2x4 OP1)12,ASTM B26 A356-T6,677,CM,4,4,Yes,7/7/2025,8/6/2025,T6,"Liquid hot top @ 20min, vacuum 1 hr, Use virgin material, Pour 2 extra bars/buttons per heat, scan all castings, pour at 1250 degrees",,,,,,,,,,,,,,,,
Waiting on Sample,Howden,A053251 - ROBOCAST-5W-74364 (SEE QUALITY PLAN)(Virtual Witness Pour) - Sample 2) - 4/4,34497,50x50x16F(6F 2x6 riser side)/16(4F 2x4 OP1)12,ASTM B26 A356-T6,677,CM,4,4,Yes,7/7/2025,8/6/2025,T6,"Liquid hot top @ 20min, vacuum 1 hr, Use virgin material, Pour 2 extra bars/buttons per heat, scan all castings, pour at 1250 degrees",,,,,,,,,,,,,,,,
Waiting on Sample,Siemens,P0100024500 - ROBOCAST-CARRIER 2-8 will have to split up for all 8 molds after sample approval,34654/34658,65x58x20F/10,11315BA (ASTM A439 D2C),1125,PP,8,8,Yes,,9/1/2025,,"Hot top, Pour uphill (1 step) Riser cap on 3"" emg. Riser, shake out by hand",,,,,,,,,,,,,,,,
Waiting on Sample,SOUTHERN CAST,Hydraulic Cylinder Bottom Mount - Tap for location (2 on) (2/3),Internal,2 on printed mold - Make 2 then let DG evaluate-CM,WCB,40,CM,6,3,No,,10/11/2025,,"Pour uphill, hot top",,,,,,,,,,,,,,,,
Waiting on Sample,ACI,C3F-888-1A#1 - ROBOCAST 2/2,34763,65x58x18F/14F/8,NI-01D (ASTM A395 60-40-18 D.I),3200,PP,2,2,Yes,,10/24/2025,HT-03,"Vacuum Vents 3 hrs, hot top and riser caps for 7"" risersX4 and blankets, wall under basin, Borescope Mold",,,,,,,,,,,,,,,,
Waiting on Sample,WEY VALVE,"increase stock by 0.10"" and re-run sims D-3908 WCB ROBO CASTING ONLY 2/2 needs new program to update stock and chill pattern",34963,85X65X15F/12,WCB,3600,PP,2,2,Yes,11/4/2025,11/4/2025,Normalized,"Pour UP Hill 3-4"", Hot Top and Extra Blankets, Build Wall",,,,,,,,,,,,,,,,
Waiting on Sample,WEY VALVE,D-3909 WCB ROBO CASTING ONLY - 2/2 (SAMPLE 1),34964,85x65x16F(6F 2x6 riser side)/12,WCB,3930,CM,2,2,Yes,12/2/2025,11/4/2025,Normalized,"Hot top, Blanket, Pour Uphill, build wall",,,,,,,,,,,,,,,,
Waiting on Sample,Diamond Lane,801186-008WDDUP -  ROBOCAST - Send One for Sample Approval - 2/5,35045,"40x40x20F (2x10"" Op1 & 2x8"" Op 2) / 16",046024-KS (65-45-12),454,TK,5,5,Yes,11/14/2025,11/19/2025,,"Pour Uphill, 2 Small Vacuums 30 min",,,,,,,,,,,,,,,,
Waiting on Sample,Diamond Lane,801186-008WDDUP -  ROBOCAST - Send One for Sample Approval - 3/5,35045,"40x40x20F (2x10"" Op1 & 2x8"" Op 2) / 16",046024-KS (65-45-12),454,TK,5,5,Yes,11/14/2025,11/19/2025,,"Pour Uphill, 2 Small Vacuums 30 min",,,,,,,,,,,,,,,,
Waiting on Sample,Diamond Lane,801186-008WDDUP -  ROBOCAST - Send One for Sample Approval - 4/5,35045,"40x40x20F (2x10"" Op1 & 2x8"" Op 2) / 16",046024-KS (65-45-12),454,TK,5,5,Yes,11/14/2025,11/19/2025,,"Pour Uphill, 2 Small Vacuums 30 min",,,,,,,,,,,,,,,,
Waiting on Sample,Diamond Lane,801186-008WDDUP -  ROBOCAST - Send One for Sample Approval - 5/5,35045,"40x40x20F (2x10"" Op1 & 2x8"" Op 2) / 16",046024-KS (65-45-12),454,TK,5,5,Yes,11/14/2025,11/19/2025,,"Pour Uphill, 2 Small Vacuums 30 min",,,,,,,,,,,,,,,,
Waiting on Sample,CAT,6645243 - 2/4 - See Henry for spec,35035,45x40x12/12,1E0356 (65-45-12 D.I),305,PP,4,1,Yes,11/5/2025,11/21/2025,Stress Relieved,"Pour UP Hill,",,,,,,,,,,,,,,,,
Waiting on Sample,CAT,6645243 - 3/4 - See Henry for spec,35035,45x40x12/12,1E0356 (65-45-12 D.I),305,PP,4,1,Yes,11/5/2025,11/21/2025,Stress Relieved,"Pour UP Hill,",,,,,,,,,,,,,,,,
Waiting on Sample,CAT,6645243 - 4/4 - See Henry for spec,35035,45x40x12/12,1E0356 (65-45-12 D.I),305,PP,4,1,Yes,11/5/2025,11/21/2025,Stress Relieved,"Pour UP Hill,",,,,,,,,,,,,,,,,
Waiting on Sample,CAT,6645235 - ROBOCAST - 2/5 - See Henry for spec Pour 2600° @ Mold,35034,90x58x12F/16F(2x6 on top)/12F/12F,1E0356 (65-45-12 D.I),1615,PP,5,5,Yes,,45982,Stress Relieved,"Pour UP Hill, pour 2600°@ the mold, place riser caps and extra hot top over open risers",,,,,,,,,,,,,,,,
Waiting on Sample,CAT,6645235 - ROBOCAST -  3/5 - See Henry for spec Pour 2600° @ Mold,35034,90x58x12F/16F(2x6 on top)/12F/12F,1E0356 (65-45-12 D.I),1615,PP,5,5,Yes,,45982,Stress Relieved,"Pour UP Hill, pour 2600°@ the mold, place riser caps and extra hot top over open risers",,,,,,,,,,,,,,,,
Waiting on Sample,CAT,6645235 - ROBOCAST - 4/5 - See Henry for spec Pour 2600° @ Mold,35034,90x58x12F/16F(2x6 on top)/12F/12F,1E0356 (65-45-12 D.I),1615,PP,5,5,Yes,,45982,Stress Relieved,"Pour UP Hill, pour 2600°@ the mold, place riser caps and extra hot top over open risers",,,,,,,,,,,,,,,,
Waiting on Sample,CAT,6645235 - ROBOCAST -  5/5 - See Henry for spec Pour 2600° @ Mold,35034,90x58x12F/16F(2x6 on top)/12F/12F,1E0356 (65-45-12 D.I),1615,PP,5,5,Yes,,45982,Stress Relieved,"Pour UP Hill, pour 2600°@ the mold, place riser caps and extra hot top over open risers",,,,,,,,,,,,,,,,
Waiting on Sample,WMC,P900ANX2_02 - ROBOCAST (Send one for machine approval) - 2/2,35055,60x58x20F/14,DE12J-0549 (CA6NM CL A),1731,MM,2,2,Yes,11/12/2025,11/26/2025,Quench and Temper,"Hot top, pour Uphill (1 step), 2 - Large vacuum 35mins, Borescope mold",,,,,,,,,,,,,,,,
Waiting on Sample,RPM,54837-01-SIM- ROBOCAST-RPM1909 (MPI and Xray at PTI) 2/4,35226,40x40x12/12/12,DE12-0534 (ASTM A747 CB7Cu-1 Cond H1150),287,TK,4,4,Yes,12/8/2025,1/26/2026,See One note,"Hot top, 1 Large Vacuum 30 min",,,,,,,,,,,,,,,,
Waiting on Sample,RPM,54837-01-SIM- ROBOCAST-RPM1909 (MPI and Xray at PTI) 3/4,35226,40x40x12/12/12,DE12-0534 (ASTM A747 CB7Cu-1 Cond H1150),287,TK,4,4,Yes,12/8/2025,1/26/2026,See One note,"Hot top, 1 Large Vacuum 30 min",,,,,,,,,,,,,,,,
Waiting on Sample,RPM,54837-01-SIM- ROBOCAST-RPM1909 (MPI and Xray at PTI) 4/4,35226,40x40x12/12/12,DE12-0534 (ASTM A747 CB7Cu-1 Cond H1150),287,TK,4,4,Yes,12/8/2025,1/26/2026,See One note,"Hot top, 1 Large Vacuum 30 min",,,,,,,,,,,,,,,,
Waiting On Molds,ACI,Z643-052 -  ROBO- Z643-053 - 1/4,35211,"50x50x22F (2- 2x10""s w/ 4"" flask) / 12F (2- 2x4""s w/ 6"" flask) / 12",ASTM B26 C355-T7,654,TK,4,4,Yes,12/4/2025,1/7/2025,T7,"Pour Temp 1250, Liquid Hot Top after 10 min, Pour Uphill (first step), 1 Large Vacuum 1 hr, Needs Borescoped",,,,,,,,,,,,,,,,
Waiting On Molds,ACI,Z643-052 -  ROBO- Z643-053 - 2/4,35211,"50x50x22F (2- 2x10""s w/ 4"" flask) / 12F (2- 2x4""s w/ 6"" flask) / 12",ASTM B26 C355-T7,654,TK,4,4,Yes,12/4/2025,1/7/2025,T7,"Pour Temp 1250, Liquid Hot Top after 10 min, Pour Uphill (first step), 1 Large Vacuum 1 hr, Needs Borescoped",,,,,,,,,,,,,,,,
Waiting On Molds,ACI,Z643-052 -  ROBO- Z643-053 - 3/4,35211,"50x50x22F (2- 2x10""s w/ 4"" flask) / 12F (2- 2x4""s w/ 6"" flask) / 12",ASTM B26 C355-T7,654,TK,4,4,Yes,12/4/2025,1/7/2025,T7,"Pour Temp 1250, Liquid Hot Top after 10 min, Pour Uphill (first step), 1 Large Vacuum 1 hr, Needs Borescoped",,,,,,,,,,,,,,,,
Waiting On Molds,ACI,Z643-052 -  ROBO- Z643-053 - 4/4,35211,"50x50x22F (2- 2x10""s w/ 4"" flask) / 12F (2- 2x4""s w/ 6"" flask) / 12",ASTM B26 C355-T7,654,TK,4,4,Yes,12/4/2025,1/7/2025,T7,"Pour Temp 1250, Liquid Hot Top after 10 min, Pour Uphill (first step), 1 Large Vacuum 1 hr, Needs Borescoped",,,,,,,,,,,,,,,,
Waiting On Molds,Siemens,150453-901- ROBOCAST (Certed MPI and Xray at PTI),35172,40x40x14/14F(centered)/12,CM-8631 (WCB),970,CM,1,1,Yes,12/4/2025,1/7/2026,Normalized,"Hot top, vacuum 40 min",,,,,,,,,,,,,,,,
Waiting On Molds,ACI,Z643-050 -  ROBO- Z643-051 1/4,35212,50x50x16F/12F/12,ASTM B26 C355-T7,700,PP,4,4,Yes,12/4/2025,1/7/2026,T7,"pour at 1250°, pour up hill, vacuum vents 1 hr, liguid hot top after 10 min, borescope mold",,,,,,,,,,,,,,,,
Waiting On Molds,ACI,Z643-050 -  ROBO- Z643-051 2/4,35212,50x50x16F/12F/12,ASTM B26 C355-T7,700,PP,4,4,Yes,12/4/2025,1/7/2026,T7,"pour at 1250°, pour up hill, vacuum vents 1 hr, liguid hot top after 10 min, borescope mold",,,,,,,,,,,,,,,,
Waiting On Molds,ACI,Z643-050 -  ROBO- Z643-051 3/4,35212,50x50x16F/12F/12,ASTM B26 C355-T7,700,PP,4,4,Yes,12/4/2025,1/7/2026,T7,"pour at 1250°, pour up hill, vacuum vents 1 hr, liguid hot top after 10 min, borescope mold",,,,,,,,,,,,,,,,
Waiting On Molds,ACI,Z643-050 -  ROBO- Z643-051 4/4,35212,50x50x16F/12F/12,ASTM B26 C355-T7,700,PP,4,4,Yes,12/4/2025,1/7/2026,T7,"pour at 1250°, pour up hill, vacuum vents 1 hr, liguid hot top after 10 min, borescope mold",,,,,,,,,,,,,,,,
Waiting On Molds,RPM,54839-01-UNN-ROBOCAST-RPM1914,35231,30x30x10/10/10,WCB,150,MM,1,1,Yes,12/8/2025,1/12/2026,Normalized,"Hot top, Large Vacuum 15mins",,,,,,,,,,,,,,,,
Waiting On Molds,Flowserve,GR00033 - ROBOCAST - 11298912 (1/2),35224,30x30x10/15/10 (cope and drag run side by side),ASTM A351 CF3M,170,CM,2,2,Yes,12/8/2025,1/12/2026,Austenitize and Quench,"Hot top, vacuum 15 min",,,,,,,,,,,,,,,,
Waiting On Molds,Flowserve,GR00033 - ROBOCAST - 11298912 (2/2),35224,30x30x10/15/10 (cope and drag run side by side),ASTM A351 CF3M,170,CM,2,2,Yes,12/8/2025,1/12/2026,Austenitize and Quench,"Hot top, vacuum 15 min",,,,,,,,,,,,,,,,
Waiting On Molds,RPM,54837-01-SIM- ROBOCAST-RPM1909 (MPI and Xray at PTI) 1/4,35226,40x40x12/12/12,DE12-0534 (ASTM A747 CB7Cu-1 Cond H1150),287,TK,4,4,Yes,12/8/2025,1/26/2026,See One note,"Hot top, 1 Large Vacuum 30 min, Pour Extra Test Bars for First Heat",,,,,,,,,,,,,,,,
Ready For Robot,SOUTHERN CAST,Mold Plate Wedges - 2/2,internal,40x40x12/12,Aluminum,50,TK,6,2,No,N/A,12/16/2025,,,,,,,,,,,,,,,,,,
Ready For Robot,Flowserve,F002544147 - ROBOCAST-01135865 (Needs SCP Certed MPI Xray at PTI) (Weld Plugs),35118,60x58x20F/12F/12,ASTM A487 CA6NM CL A,1655,PP,1,1,Yes,11/25/2025,12/17/2025,Quench and Temper,"Vacuum Vents 45 min, hot top, borescope mold",,,,,,,,,,,,,,,,
Ready For Robot,Siemens,60183-901 - ROBOCAST,35171,50x50x16F/12/12,CM-3113 (ASTM A48 Cl 30 G.I),1135,PP,1,1,Yes,11/24/2025,12/23/2025,,"Hot top, Vacuum Vents 1.5 hrs",,,,,,,,,,,,,,,,
Ready For Robot,Flowserve,F002299605- ROBOCAST-67212852 (weld plugs) (repeat) (1/2),35177,50x50x16F/12,WCB,1100,CM,2,2,Yes,11/25/2025,12/23/2025,Normalized,"Hot top, vacuum 30 min, borescope mold",,,,,,,,,,,,,,,,
Ready For Robot,Flowserve,F002299605- ROBOCAST-67212852 (weld plugs) (repeat) (2/2),35177,50x50x16F/12,WCB,1100,CM,2,2,Yes,11/25/2025,12/23/2025,Normalized,"Hot top, vacuum 30 min, borescope mold",,,,,,,,,,,,,,,,
Ready For Robot,RPM,54838-01-APS- ROBOCAST-RPM1901,35221,30x30x10/10,ASTM A48 Cl 30 G.I,96,MM,1,1,Yes,12/5/2025,1/9/2026,,"Hot Top, Small vacuum 30 mins, Knock off Risers",,,,,,,,,,,,,,,,
Ready For Robot,Siemens,19564-901 - ROBOCAST,35220,30x30x10/10,CM-3113 (ASTM A48 Cl 30 G.I),103,MM,1,1,Yes,12/4/2025,1/16/2026,,"Hot Top, 2 Small Vacuum 45min",,,,,,,,,,,,,,,,
Running On Robot,WEY,"D-6915 DN50/80 S-16022A- MACH, D-6915 DN100/125 S-16022A-Drag PATTERN",34800/34801,45x40x16/12,Al 319,335,PP,,,No,,12/8/2025,,,,,,,,,,,,,,,,,,
Running On Robot,SOUTHERN CAST,Mold Plate Wedges - 1/2,internal,40x40x12/12,Aluminum,50,TK,6,2,No,N/A,12/16/2025,,,,,,,,,,,,,,,,,,
Running On Robot,Siemens,7K03713-001 - ROBOCAST,35186,30x30x15/15,CM-3113 (ASTM A48 Cl 30 G.I),230,TK,1,1,Yes,12/2/2025,1/9/2026,,"Hot top, 1 Small Vacuum 30 min",,,,,,,,,,,,,,,,
Running On Robot,Siemens,37403-902 - ROBO-37403-901,35188,30x30x10/10/10,CM-3115 (ASTM A48 Cl 40 G.I),220,MM,1,1,Yes,12/1/2025,1/14/2026,,"Hot top, Small vacuum 20mins, Borescope mold",,,,,,,,,,,,,,,,
Waiting On Cores,Siemens,4643-901- ROBOCAST - 3D MOLD,35223,Printed Mold,CM-3113 (ASTM A48 Cl 30 G.I),24,TK,1,1,Yes,12/8/2025,1/19/2026,,"Hot Top, 1 Small Vaccum 30 min",,,,,,,,,,,,,,,,
Waiting to be Assembled,WEY VALVE,D-3909 WCB ROBO CASTING ONLY - 1/2 (SAMPLE 1),34964,85x65x16F(6F 2x6 riser side)/12,WCB,3930,CM,2,2,Yes,12/2/2025,11/4/2025,Normalized,"Hot top, Blanket, Pour Uphill, build wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,WEY,"D-6915 DN50/80 S-16022A- MACH, D-6915 DN100/125 S-16022A-Cope PATTERN",34800/34801,40x45x12/12,Al 319,300,PP,,,No,,12/8/2025,,,,,,,,,,,,,,,,,,
Waiting to be Assembled,Water Hog,24 INCH PUMP HEAD -  Cope Core,35071,45x40x16/12 (12 for op2),WCB,3150,PP,1,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,Water Hog,24 INCH PUMP HEAD -  Drag Cores,35071,45x40x16/12 (12 for op2),WCB,3150,PP,1,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,Water Hog,24 INCH PUMP HEAD - MACH Robo Sample,35071,90x58x18F/20 (2-30x30x10 for sprues),WCB,3150,PP,Pattern,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,Water Hog,24 INCH PUMP HEAD -  Small Cores,35071,40x40x16/12 (12 for op2),WCB,3150,PP,1,1,1,,12/17/2025,Pattern,"Hot top, Pour Uphill, Maybe a wall",,,,,,,,,,,,,,,,
Waiting to be Assembled,Diamond Lane,SOLID SIDE-PELCO PM-PB-0693,35104,"50x50x20F (2x10"" Op1 & 2x8"" Op 2)/14",ASTM A48 CL 35 G.I,1221,MM,1,1,No,11/18/2025,12/19/2025,Stress Relieve,"Pour uphill (1st step), Hot top",,,,,,,,,,,,,,,,
Waiting to be Assembled,WMC,Y60-266 - ROBOCAST - 2/2,35199,40x40x12/12,MF01-010  (ASTM  A278 CL 30 G.I),373,MM,2,2,Yes,N/A,12/23/2025,,Hot top,,,,,,,,,,,,,,,,
Waiting to be Assembled,WMC,Y60-266 - ROBOCAST - 1/2,35199,40x40x12/12,MF01-010  (ASTM  A278 CL 30 G.I),373,MM,2,2,Yes,N/A,12/23/2025,,Hot top,,,,,,,,,,,,,,,,
Waiting to be Assembled,Flowserve,F000631079 - ROBOCAST-01106745 (SCP Certed MPI),35189,50x50x14/12,ASTM A995 Gr 1B CD4MCuN,1100,TK,2,2,Yes,11/26/2025,12/23/2025,Austenitize and Quench,"Hot Top, Pour Uphill, 1 Large Vacuum 45 min",,,,,,,,,,,,,,,,
Waiting to be Assembled,Siemens,M4336_A - ROBOCAST - Use same moldwork as 35195,35197,30x30x10/10,WCB,348,TK,2,2,Yes,N/A,1/7/2026,Normalized,"Hot Top, Pour Uphill",,,,,,,,,,,,,,,,
Waiting to be Assembled,Siemens,M4336_A - ROBOCAST,35195,30x30x10/10,WCB,348,TK,2,2,Yes,N/A,1/7/2026,Normalized,"Hot Top, Pour Uphill",,,,,,,,,,,,,,,,
Waiting to be Assembled,SOUTHERN CAST,X-Large Insert Pattern Blank 40x36x6 2/2,,60x58x16F/8,Al 319,1179,TK,2,2,No,,N/A,12/1/2024,,,,,,,,,,,,,,,,,
Being Assembled,CAT, remake 6645235 - ROBOCAST - Internal Expedite 1/5 - See Henry for spec pour at 2600° at the mold,35034,90x58x12F/16F(2x6 on top)/12F/12F,1E0356 (65-45-12 D.I),1615,PP,5,5,Yes,11/11/2025,11/21/2025,Stress Relieved,"Pour UP Hill, pour 2600°@ the mold, place riser caps and extra hot top over open risers",,,2,,,,,,,,,,,,,
Being Assembled,Flowserve,F001577292 - ROBOCAST-01127958,35228,30x30x10/10,WCB,260,BL,1,1,Yes,12/4/2025,12/23/2025,Normalized,"Pour Uphill on 2nd step, Hot Top",,,,,,,,,,,,,,,,
Ready to Pour,CAT,6664964- ROBOCAST - 4/4 - See Henry for spec,35036,40x40x12/12,1E0356 (65-45-12 D.I),300,PP,4,4,Yes,N/A,12/22/2025,Stress Relieved,"Pour Up Hill, DP side down",,,2,,,,,,,,,,,,,
Ready to Pour,RPM,29876 RPM 229  ROBOCAST 2/2,35190,"65X58X18F/12F/10F(4""F)/6 (30x30x15 Core)",65-45-12 D.I,2700,PP,2,2,Chems Only,11/25/2025,12/23/2025,,"Vacuum Vents 1 hr, make sure basin is full after pouring, if not, the domes won't be full",,,1,,,,,,,,,,,,,
Ready to Pour,Diamond Lane,081651-048UP- ROBOCAST-3D MOLD - extra,35198,30x30x10/10,46024-FA (60-45-15 or 60-40-18),117,TK,6,3,Yes,N/A,12/23/2025,,Pour Uphill,,,2,,,,,,,,,,,,,
Ready to Pour,ACT,ACT-DUMP-BODY-08.0 -ROBO -MACH - 2/2,35156,30x30x10/10,CF8M,190,TK,2,2,Yes,12/1/2025,12/30/2025,Austenitize and Quench,"Hot Top, Pour Uphill (first step), 3 Small Vacuums 30 min, Needs Borescoped",,,1,,,,,,,,,,,,,
Ready to Pour,ACT,ACT-DUMP-BODY-08.0 -ROBO -MACH - 1/2,35156,30x30x10/10,CF8M,190,TK,2,2,Yes,12/1/2025,12/30/2025,Austenitize and Quench,"Hot Top, Pour Uphill (first step), 3 Small Vacuums 30 min, Needs Borescoped",,,1,,,,,,,,,,,,,
Ready to Pour,ACI ,K-6659-A-2_1_1 - ROBOCAST,35141,40x40x12/12/12,ASTM A48 CL 40 Gray Iron (CI-04),650,CM,1,1,Yes,11/26/2025,12/31/2025,ACI Spec HT-01 ,"Pour uphill (first),Hot top and blanket, vacuum 45 min, borescope",,,1,,,,,,,,,,,,,
Ready to Pour,SOUTHERN CAST,Blast Wheel Part Rim Lock Blade - Tap for location,Internal,4 on printed mold-CM,White iron,30,CM,8,2,No,7/30/2025,,,"Hot top, build wall",,,16,,,,,,,,,,,,,
Ready to Pour,SOUTHERN CAST,Blast Wheel Part Rim Lock Blade - Tap for location,Internal,4 on printed mold-CM,White iron,30,CM,8,2,No,7/30/2025,,,"Hot top, build wall",,,16,,,,,,,,,,,,,
Cooling,Diamond Lane,"PM BLANK-PELCO SIDES-PB-0545 USE NEW MODELS - 1/2 Cut Cope on A, 11/24",35134,"50x50x20F (2x10"" Op1 & 2x8"" Op 2)/14",ASTM A48 CL 35 G.I,1221,MM,2,2,No,11/18/2025,12/22/2025,Stress Relieve,"Pour uphill (1st step), Hot top",,,2,,,,,,,,,,,,,
Cooling,Diamond Lane,PM BLANK-PELCO SIDES-PB-0545 USE NEW MODELS - 2/2,35134,"50x50x20F (2x10"" Op1 & 2x8"" Op 2)/14",ASTM A48 CL 35 G.I,1221,MM,2,2,No,11/18/2025,12/22/2025,Stress Relieve,"Pour uphill (1st step), Hot top",,,2,,,,,,,,,,,,,
Cooling,RPM,29876 RPM 229  ROBOCAST 1/2,35190,"65X58X18F/12F/10F(4""F)/6 (30x30x15 Core)",65-45-12 D.I,2700,PP,2,2,Chems Only,11/25/2025,12/23/2025,,"Vacuum Vents 1 hr, make sure basin is full after pouring, if not, the domes won't be full",,,1,,,,,,,,,,,,,
